titulo,formato,precio,precio_unitario,categoria,fecha_extraccion
"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,17.75,3.55,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de oliva 0,4º Hacendado",Botella 1 L,3.70,3.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Garrafa 3 L,14.00,4.67,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Botella 1 L,4.85,4.85,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,5.95,7.93,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva 1º Hacendado,Garrafa 5 L,18.45,3.69,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva 1º Hacendado,Botella 1 L,3.95,3.95,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen Hacendado,Garrafa 3 L,12.15,4.05,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen Hacendado,Botella 1 L,4.35,4.35,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.80,14.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,5.45,10.90,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,8.70,1.74,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,1.80,1.80,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de coco virgen Hacendado,Bote 450 ml,5.45,12.11,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de vino blanco Hacendado,Botella 1 L,0.65,0.65,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de manzana Hacendado,Botella 1 L,0.90,0.90,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Limón exprimido Hacendado,Botella 280 ml,1.05,3.75,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,1.80,7.20,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de Jerez reserva Hacendado,Botella 250 ml,2.00,8.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Reducción bálsamica de vinagre Pedro Ximénez Hacendado,Botella 300 g,2.25,7.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre balsámico de Módena Hacendado,Botella 500 ml,2.35,4.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal fina Hacendado,Paquete 1 kg,0.40,0.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal fina de mesa Hacendado,Bote 300 g,0.75,2.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal yodada fina Hacendado,Paquete 1 kg,0.45,0.45,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal gruesa Hacendado,Paquete 1 kg,0.40,0.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Bicarbonato de sódio Hacendado,Paquete 1 kg,1.50,1.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Bicarbonato de sódio Hacendado,Bote 300 g,1.10,3.67,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Escamas de sal marina natural Polasal,Bote 125 g,2.00,16.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal gruesa para hornear Hacendado,Paquete 2 kg,1.40,0.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal de ajo Hacendado,Bote 130 g,1.80,13.85,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal de frutas sabor limón Hacendado,Bote 250 g,2.10,8.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal 60% menos de sodio Hacendado,Bote 250 g,2.30,9.20,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Preparado para ahumar Hacendado,Bote 750 g,3.30,4.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal rosa del Himalaya Hacendado,Paquete 1 kg,2.65,2.65,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Orégano Hacendado,Bote 25 g,1.00,40.00,Aceite especias y salsas - Especias,2025-06-07
Perejil Hacendado,Bote 18 g,0.90,50.00,Aceite especias y salsas - Especias,2025-06-07
Hoja de laurel Hacendado,Paquete 12 g,0.85,70.83,Aceite especias y salsas - Especias,2025-06-07
Hierbas provenzales Hacendado,Bote 25 g,1.20,48.00,Aceite especias y salsas - Especias,2025-06-07
Albahaca Hacendado,Bote 20 g,1.25,62.50,Aceite especias y salsas - Especias,2025-06-07
Romero Hacendado,Bote 40 g,1.35,33.75,Aceite especias y salsas - Especias,2025-06-07
Tomillo Hacendado,Bote 24 g,1.05,43.75,Aceite especias y salsas - Especias,2025-06-07
Eneldo Hacendado,Bote 18 g,1.85,102.78,Aceite especias y salsas - Especias,2025-06-07
Cilantro Hacendado,Bote 12 g,1.85,154.17,Aceite especias y salsas - Especias,2025-06-07
Ajo y Perejil Hacendado,Bote 74 g,1.35,18.24,Aceite especias y salsas - Especias,2025-06-07
Colorante alimentario Hacendado,Bote 85 g,0.95,11.18,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce Hacendado,Bote 56 g,1.00,17.86,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce de la Vera Hacendado,Bote 75 g,1.85,24.67,Aceite especias y salsas - Especias,2025-06-07
Azafrán molido Hacendado,"Paquete 4 sobres (0,4 g)",1.80,450.00,Aceite especias y salsas - Especias,2025-06-07
Azafrán hebra Hacendado,"Paquete 0,4 g",1.85,462.50,Aceite especias y salsas - Especias,2025-06-07
Pimentón picante Hacendado,Bote 60 g,1.35,22.50,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce Hacendado,Bote 75 g,1.30,17.33,Aceite especias y salsas - Especias,2025-06-07
Pimienta negra molida Hacendado,Bote 70 g,1.30,18.57,Aceite especias y salsas - Especias,2025-06-07
Molinillo pimienta negra Hacendado,Bote 65 g,1.85,28.46,Aceite especias y salsas - Especias,2025-06-07
Pimienta negra en grano Hacendado,Bote 70 g,1.70,24.29,Aceite especias y salsas - Especias,2025-06-07
Molinillo mix pimientas Hacendado,Bote 50 g,1.95,39.00,Aceite especias y salsas - Especias,2025-06-07
Pimienta blanca molida Hacendado,Bote 70 g,2.30,32.86,Aceite especias y salsas - Especias,2025-06-07
Ajo granulado Hacendado,Bote 115 g,1.20,10.43,Aceite especias y salsas - Especias,2025-06-07
Cebolla frita crujiente Hacendado,Bote 150 g,1.15,7.67,Aceite especias y salsas - Especias,2025-06-07
Canela molida Hacendado,Bote 52 g,1.00,19.23,Aceite especias y salsas - Especias,2025-06-07
Canela en rama Hacendado,Bote 19 g,1.50,78.95,Aceite especias y salsas - Especias,2025-06-07
Comino molido Hacendado,Bote 58 g,1.20,20.69,Aceite especias y salsas - Especias,2025-06-07
Comino en grano Hacendado,Bote 56 g,1.95,34.82,Aceite especias y salsas - Especias,2025-06-07
Curry Hacendado,Bote 57 g,1.30,22.81,Aceite especias y salsas - Especias,2025-06-07
Nuez moscada molida Hacendado,Bote 58 g,1.65,28.45,Aceite especias y salsas - Especias,2025-06-07
Cebolla en polvo Hacendado,Bote 60 g,0.94,15.67,Aceite especias y salsas - Especias,2025-06-07
Cayena guindillas Hacendado,Bote 27 g,1.36,50.37,Aceite especias y salsas - Especias,2025-06-07
Cayena molida Hacendado,Bote 55 g,1.65,30.00,Aceite especias y salsas - Especias,2025-06-07
Cúrcuma Hacendado,Bote 60 g,1.30,21.67,Aceite especias y salsas - Especias,2025-06-07
Jengibre molido Hacendado,Bote 49 g,1.65,33.67,Aceite especias y salsas - Especias,2025-06-07
Sal de ajo Hacendado,Bote 130 g,1.80,13.85,Aceite especias y salsas - Especias,2025-06-07
Ñoras Hacendado,Paquete 25 g,1.56,62.40,Aceite especias y salsas - Especias,2025-06-07
Clavo en grano Hacendado,Bote 42 g,1.75,41.67,Aceite especias y salsas - Especias,2025-06-07
Piñones Hacendado,Bote 70 g,3.02,43.14,Aceite especias y salsas - Especias,2025-06-07
Sazonador para fajitas Hacendado sabor tex-mex,Sobre 17 g,0.85,50.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador ajo y limón Hacendado para carne y pescado,Sobre 30 g,1.05,35.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador hierbas provenzales Hacendado para pollo y costillas,Sobre 24 g,1.00,41.67,Aceite especias y salsas - Especias,2025-06-07
Sazonador barbacoa Hacendado para pollo y costillas,Sobre 57 g,1.30,22.81,Aceite especias y salsas - Especias,2025-06-07
Sazonador para paella con azafrán Hacendado,Caja 5 sobres (20 g),1.50,75.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador para burritos Hacendado,Sobre 40 g,1.30,32.50,Aceite especias y salsas - Especias,2025-06-07
Sazonador pollo y carne Hacendado,Bote 76 g,1.40,18.42,Aceite especias y salsas - Especias,2025-06-07
Sazonador pasta Hacendado,Bote 45 g,1.60,35.56,Aceite especias y salsas - Especias,2025-06-07
Mezcla de especias para gazpacho manchego Hacendado,Caja 5 sobres (10 g),2.50,250.00,Aceite especias y salsas - Especias,2025-06-07
Mayonesa Hacendado,Tarro 500 ml,1.20,2.40,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hacendado,Tarro 240 ml,1.00,4.17,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hacendado,Bote 490 ml,1.40,2.86,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa en sobres individuales Hacendado,12 sobres x 20 ml,1.30,65.00,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hellmann's,Tarro 450 ml,2.95,6.56,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa Original Ligeresa,Tarro 425 ml,2.00,4.71,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa Original Ligeresa,Bote 430 ml,2.65,6.16,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Musa,Tarro 540 ml,2.45,4.54,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa Light Hacendado,Tarro 500 ml,1.20,2.40,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa Light Hacendado,Bote 490 ml,1.40,2.86,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Ketchup Hacendado,Bote 600 g,1.15,1.92,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Ketchup en sobres individuales Hacendado,Paquete 12 sobres (240 g),1.40,5.83,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Ketchup Heinz,Bote 650 g,3.50,5.38,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa de tomate Zero sin azúcares añadidos Hacendado,Bote 600 g,1.60,2.67,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mostaza a la antigua Hacendado,Tarro 200 g,1.70,8.50,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mostaza de Dijon Hacendado,Tarro 200 g,1.25,6.25,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mostaza clásica Hacendado,Bote 388 g,1.35,3.48,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Allioli Chovi,Tarrina 180 ml,1.45,8.06,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Allioli Hacendado,Tarrina 200 ml,1.10,5.50,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Allioli en sobres individuales Hacendado,Paquete 8 sobres (160 ml),1.50,9.38,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Tomate frito Hacendado,3 bricks x 400 g,1.35,3.38,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito Hacendado,3 mini bricks x 210 g,0.95,4.52,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito Hacendado,Tarro 560 g,0.90,1.61,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito receta artesana Hacendado,Tarro 560 g,2.10,3.75,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito receta artesana Hacendado,Tarro 300 g,1.50,5.00,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito Hida,Bote 400 g,1.75,4.38,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito estilo casero Hacendado,Brick 380 g,1.20,3.16,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,1.40,6.67,Aceite especias y salsas - Otras salsas,2025-06-07
Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,1.10,1.96,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Barbacoa Hacendado,Bote 350 g,1.15,3.29,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa pimienta verde Hacendado,Sobre 50 g,1.25,25.00,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Burger Hacendado,Bote 250 ml,1.35,5.40,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Piri Piri Hacendado,Botella 195 ml,1.00,5.13,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa curry Tikka Masala Hacendado picante,Paquete 180 g,2.00,11.11,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Pesto con albahaca Hacendado,Tarro 190 g,1.95,10.26,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de tomate Boloñesa Hacendado,Tarro 400 g,1.90,4.75,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de tomate con Albahaca Hacendado,Tarro 400 g,1.75,4.38,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa fresca Trufa Hacendado,Paquete 140 g,1.45,10.36,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa fresca Queso Hacendado,Paquete 180 g,1.45,8.06,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa fresca Pesto con albahaca Hacendado,Tarrina 150 g,2.00,13.33,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa fresca Setas Hacendado,Tarrina 200 g,1.65,8.25,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa fresca Carbonara Hacendado,200 g,1.65,8.25,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de Soja Hacendado,Botella 250 ml,1.25,5.00,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Teriyaki Hacendado,Botella 250 ml,1.65,6.60,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Agridulce Hacendado,Bote 340 g,Precio no disponible,No disponible,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Thai Chili dulce J-Lek,Botella 250 ml,1.55,6.20,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de Soja sin gluten Hacendado,Botella 250 ml,2.50,10.00,Aceite especias y salsas - Otras salsas,2025-06-07
Guacamole Hacendado,Tarrina 500 g,3.95,7.90,Aceite especias y salsas - Otras salsas,2025-06-07
Guacamole Hacendado,Tarrina 200 g,1.75,8.75,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Yogur Hacendado,Bote 310 ml,1.20,3.87,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Mexicana Hacendado,Tarro 300 g,1.25,4.17,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Ranch Hacendado,Bote 250 ml,1.35,5.40,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa César Hacendado,Bote 310 ml,1.40,4.52,Aceite especias y salsas - Otras salsas,2025-06-07
Aliño de aceite con perejil y ajo Hacendado,Tarrina 150 ml,1.75,11.67,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Miel y Mostaza Hacendado,Bote 340 g,1.45,4.26,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de Trufa,Bote 80 g,3.10,38.75,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Gajo Rústica Hacendado,Bote 250 ml,1.35,5.40,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa de Queso Hacendado,Tarro 280 ml,1.65,5.89,Aceite especias y salsas - Otras salsas,2025-06-07
Chili con carne Hacendado,Bote 420 g,2.80,6.67,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Cocktail Hacendado,Bote 490 ml,1.40,2.86,Aceite especias y salsas - Otras salsas,2025-06-07
Carne de pimiento choricero Hacendado,Tarro 140 g,1.55,11.07,Aceite especias y salsas - Otras salsas,2025-06-07
Pasta de sésamo Tahini Hacendado,Tarro 200 g,2.95,14.75,Aceite especias y salsas - Otras salsas,2025-06-07
Salsa Bechamel Knorr,3 mini bricks x 200 ml,2.55,12.75,Aceite especias y salsas - Otras salsas,2025-06-07
Agua mineral grande Bronchales,Garrafa 6 L,1.28,0.21,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Bronchales,"6 botellas x 1,5 L",2.34,0.08,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Bronchales,"Botella 1,5 L",0.39,0.08,Agua y refrescos - Agua,2025-06-07
Agua mineral mediana Bronchales,6 botellas x 1 L,3.00,0.50,Agua y refrescos - Agua,2025-06-07
Agua mineral mediana Bronchales,Botella 1 L,0.50,0.50,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Bronchales,6 botellas x 500 ml,1.74,0.58,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Bronchales,Botella 500 ml,0.29,0.58,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Bronchales tapón infantil,6 botellas x 330 ml,2.40,1.21,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Bronchales tapón infantil,Botella 330 ml,0.40,1.21,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Cortes,Garrafa 8 L,0.92,0.12,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Cortes,Garrafa 6 L,0.81,0.14,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Cortes,"6 botellas x 1,5 L",1.50,0.05,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Cortes,"Botella 1,5 L",0.25,0.05,Agua y refrescos - Agua,2025-06-07
Agua mineral mediana Cortes,6 botellas x 1 L,2.40,0.40,Agua y refrescos - Agua,2025-06-07
Agua mineral mediana Cortes,Botella 1 L,0.40,0.40,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Cortes,6 botellas x 500 ml,1.44,0.48,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Cortes,Botella 500 ml,0.24,0.48,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Cortes tapón infantil,6 botellas x 330 ml,1.56,0.79,Agua y refrescos - Agua,2025-06-07
Agua mineral pequeña Cortes tapón infantil,Botella 330 ml,0.26,0.79,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Bezoya,"6 botellas x 1,5 L",4.14,0.14,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Bezoya,"Botella 1,5 L",0.69,0.14,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Nestlé Aquarel,"6 botellas x 1,5 L",3.72,0.12,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Nestlé Aquarel,"Botella 1,5 L",0.62,0.12,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Font Vella,"6 botellas x 1,5 L",4.32,0.14,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Font Vella,"Botella 1,5 L",0.75,0.15,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Solán de Cabras,"6 botellas x 1,5 L",5.52,0.18,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Solán de Cabras,"Botella 1,5 L",0.92,0.18,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Lanjarón,"6 botellas x 1,5 L",3.78,0.13,Agua y refrescos - Agua,2025-06-07
Agua mineral grande Lanjarón,"Botella 1,5 L",0.66,0.13,Agua y refrescos - Agua,2025-06-07
Agua de coco Hacendado 100% natural,Brick 1 L,2.60,2.60,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande Vichy Catalan,Botella 1 L,1.49,1.49,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas pequeña Vichy Catalan,6 botellas x 300 ml,5.89,3.27,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande Cortes,"6 botellas x 1,5 L",2.58,0.09,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande Cortes,"Botella 1,5 L",0.43,0.09,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas pequeña Cortes,6 botellas x 500 ml,1.74,0.58,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas pequeña Cortes,Botella 500 ml,0.29,0.58,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande San Pellegrino,6 botellas x 1 L,8.34,1.39,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande San Pellegrino,Botella 1 L,1.39,1.39,Agua y refrescos - Agua,2025-06-07
Agua de soda con sifón La Casa,"Botella 1,5 L",1.60,0.32,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande Fonter,6 botellas x 1 L,6.84,1.14,Agua y refrescos - Agua,2025-06-07
Agua mineral con gas grande Fonter,Botella 1 L,1.14,1.14,Agua y refrescos - Agua,2025-06-07
Gaseosa Hacendado grande,"Botella 1,5 L",0.55,0.11,Agua y refrescos - Agua,2025-06-07
Gaseosa Hacendado pequeña,6 botellas x 500 ml,2.04,0.68,Agua y refrescos - Agua,2025-06-07
Gaseosa Hacendado pequeña,Botella 500 ml,0.34,0.68,Agua y refrescos - Agua,2025-06-07
Gaseosa La Casera grande,"2 botellas x 1,5 L",2.45,0.25,Agua y refrescos - Agua,2025-06-07
Gaseosa La Casera grande,"Botella 1,5 L",1.25,0.25,Agua y refrescos - Agua,2025-06-07
Bebida isotónica limón Aquarius,"Botella 1,5 L",1.99,0.40,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica limón Aquarius,8 latas x 330 ml,6.56,0.10,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica limón Aquarius,Lata 330 ml,0.85,2.58,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica sabor cítrico Iso drink,"Botella 1,5 L",1.00,0.20,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica sabor cítrico Iso drink,6 latas x 330 ml,2.70,0.08,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica sabor cítrico Iso drink,Lata 330 ml,0.45,1.36,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica naranja Aquarius,"Botella 1,5 L",1.99,0.40,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica naranja Aquarius,8 latas x 330 ml,6.56,0.10,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica naranja Aquarius,Lata 330 ml,0.85,2.58,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica limón Aquarius zero azúcar,"Botella 1,5 L",1.99,0.40,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica de naranja Iso drink,"Botella 1,5 L",1.00,0.20,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica de naranja Iso drink,6 latas x 330 ml,2.70,0.08,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica de naranja Iso drink,Lata 330 ml,0.45,1.36,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica Iso On blue Hacendado,"Botella 1,5 L",1.55,0.31,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica Iso On blue Hacendado,Botella 500 ml,Precio no disponible,No disponible,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida isotónica sabor cítrico Iso drink zero,"Botella 1,5 L",1.00,0.20,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Drink Zero Hacendado,6 latas x 250 ml,2.40,0.07,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Zero Hacendado,Lata 250 ml,0.40,1.60,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Ultra zero Monster,4 latas x 500 ml,6.68,0.42,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Ultra zero Monster,Lata 500 ml,1.79,3.58,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética energy Monster,4 latas x 500 ml,6.68,0.42,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Monster,Lata 500 ml,1.79,3.58,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Drink Hacendado,"Botella 1,5 L",1.60,0.32,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Drink Hacendado,6 latas x 250 ml,2.40,0.07,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Energy Drink Hacendado,Lata 250 ml,0.40,1.60,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Red Bull,6 latas x 250 ml,6.00,0.17,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Red Bull,Lata 250 ml,1.59,6.36,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética original Burn,4 latas x 500 ml,3.32,0.21,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética original Burn,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Gel energético con cafeína Enervit Sport sabor cítricos,3 ud. x 32 g,3.75,39.06,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Mango Loco Monster,4 latas x 500 ml,6.68,0.42,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Mango Loco Monster,Lata 500 ml,1.79,3.58,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Furious Energy drink,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Tropic Energy drink,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Malta Maltín Polar,6 botellines x 250 ml,7.00,28.00,Agua y refrescos - Isotónico y energético,2025-06-07
Malta Maltín Polar,Botellín 250 ml,1.25,5.00,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética zero Watermelon Energy drink,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Zero Furious Energy drink,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Bebida energética Zero Katrine Energy drink,Lata 500 ml,1.00,2.00,Agua y refrescos - Isotónico y energético,2025-06-07
Refresco Coca-Cola,2 botellas x 2 L,3.90,0.97,Agua y refrescos - Refresco de cola,2025-06-07
Refresco Coca-Cola,Botella 2 L,1.99,0.99,Agua y refrescos - Refresco de cola,2025-06-07
Refresco Coca-Cola,"2 botellas x 1,25 L",2.90,0.06,Agua y refrescos - Refresco de cola,2025-06-07
Refresco Coca-Cola,"Botella 1,25 L",1.49,0.06,Agua y refrescos - Refresco de cola,2025-06-07
Refresco Coca-Cola,4 botellas x 500 ml,5.40,2.70,Agua y refrescos - Refresco de cola,2025-06-07
Refresco Coca-Cola,Botella 500 ml,1.49,2.98,Agua y refrescos - Refresco de cola,2025-06-07
